Size	BST/Insert	BST/Remove	BST/Search	DLL/Insert at the back	DLL/Insert at the front	DLL/Remove from the back	DLL/Remove from the front	DLL/Search	Hash Table/Insert	Hash Table/Remove	Hash Table/Search	SLL/Insert at the back	SLL/Insert at the front	SLL/Remove from the back	SLL/Remove from the front	SLL/Search	Vector/Insert at the back	Vector/Insert at the front	Vector/Remove from the back	Vector/Remove from the front	Vector/Search
37750	464	555	81	36	3	32	0	1273517	146	26	0	0	4	548504	0	1238114	7	918863	1	708956	1128224
38000	561	539	250	0	3	0	0	1276722	117	52	38	0	19	545136	0	1274632	59	781566	0	718435	1123805
38250	470	642	262	0	44	0	0	1290921	229	23	0	22	5	592923	0	1277642	7	797036	12	740733	1137595
38500	485	530	342	39	13	0	12	1287805	115	69	0	0	8	548389	0	1284961	6	787799	0	753406	1145854
38750	424	665	276	0	4	0	28	1310245	135	17	0	0	132	595629	0	1304182	74	792651	0	749201	1157520
39000	458	3980	262	0	2	0	0	1329025	107	28	0	0	9	550956	12	1413662	6	806776	0	740290	1190575
39250	497	299	262	0	2	0	0	1321658	117	28	0	0	20	572832	0	1288847	7	808858	0	772747	1149037
39500	468	277	312	0	18	69	20	1340599	121	77	0	0	36	606647	0	1296221	21	808734	1	758543	1174761
39750	525	588	312	75	15	14	12	1355623	161	21	1	0	33	569684	0	1298713	6	813524	0	776462	1197895
40000	451	531	335	0	2	0	0	1342393	103	54	0	0	75	610533	31	1326899	8	830104	0	753861	1210591
40250	562	570	262	68	15	0	12	1365071	166	43	0	0	6	589854	0	1331512	8	815197	0	781701	1206936
40500	620	630	264	104	2	0	0	1412285	107	20	0	0	6	591671	0	1322754	11	836658	1	779870	1208728
40750	632	639	276	12	1	0	0	1387562	165	36	0	0	5	674629	9	1334874	8	826327	0	767743	1219639
41000	501	881	286	3	4	0	52	1395073	207	33	24	0	42	611373	0	1358596	19	873051	0	774257	1253885
41250	494	610	286	96	3	14	0	1399544	106	56	0	0	3	660127	0	1351680	7	844344	47	797706	1271172
41500	450	769	262	0	3	0	0	1397473	103	29	0	0	7	638194	10	1358023	7	845726	0	803217	1258210
41750	600	624	262	0	4	0	39	1408589	106	67	0	0	1	650117	0	1367608	9	858566	0	810092	1261896
42000	583	643	341	2	3	0	0	1417525	313	31	0	0	3	676858	0	1398613	6	862684	0	820263	1246563
42250	535	695	362	0	6	0	0	1434290	216	68	92	0	6	682988	0	1394624	8	856883	0	841081	1259204
